date,open,high,low,close,volume
2022-02-06 09:00:00,17.763,18.17,17.171,18.064,566963.3
2022-02-07 09:00:00,18.064,19.422,17.66,18.862,1052312.8999999999
2022-02-08 09:00:00,18.862,19.522,17.725,18.374,1251964.8999999999
2022-02-09 09:00:00,18.374,18.744,17.738,18.661,663515.5
2022-02-10 09:00:00,18.661,18.753,17.353,17.501,1195129.8
2022-02-11 09:00:00,17.501,17.827,15.907,16.205,745915.7
2022-02-12 09:00:00,16.205,16.384,15.574,15.945,627610.4
2022-02-13 09:00:00,15.945,16.319,15.515,15.598,519536.4
2022-02-14 09:00:00,15.598,16.114,15.201,15.889,688253.3
2022-02-15 09:00:00,15.889,17.455,15.814,17.332,679088.4
2022-02-16 09:00:00,17.332,17.42,16.508,17.119,545891.1
2022-02-17 09:00:00,17.119,17.43,15.451,15.573,775038.1
2022-02-18 09:00:00,15.573,16.038,15.032,15.192,452875.6
2022-02-19 09:00:00,15.192,15.666,14.825,15.513,598343.7
2022-02-20 09:00:00,15.513,15.52,14.372,14.591,819923.3
2022-02-21 09:00:00,14.591,15.295,13.37,13.488,1305321.2
2022-02-22 09:00:00,13.488,14.189,13.005,13.99,943912.2
2022-02-23 09:00:00,13.99,14.646,13.298,13.331,814182.5
2022-02-24 09:00:00,13.331,13.942,11.386,13.257,2471608.1000000001
2022-02-25 09:00:00,13.257,14.485,13.073,14.353,1396767.1000000001
2022-02-26 09:00:00,14.353,15.051,14.077,14.697,671823
2022-02-27 09:00:00,14.697,14.845,13.46,13.621,1191953.5
2022-02-28 09:00:00,13.621,15.158,13.308,15.125,960910.1
2022-03-01 09:00:00,15.125,15.723,14.725,15.349,919249.3
2022-03-02 09:00:00,15.349,15.862,14.914,15.276,1160125.3
2022-03-03 09:00:00,15.276,15.365,14.456,14.892,602598.6
2022-03-04 09:00:00,14.892,14.961,13.535,13.725,835760.3
2022-03-05 09:00:00,13.725,14.272,13.409,14.013,401075.9
2022-03-06 09:00:00,14.013,14.109,13.231,13.309,653392.2
2022-03-07 09:00:00,13.309,13.659,12.408,12.67,1272048.3
2022-03-08 09:00:00,12.67,13.542,12.568,13.084,1281372.8
2022-03-09 09:00:00,13.084,14.444,13.055,14.006,922024.1
2022-03-10 09:00:00,14.006,14.095,12.955,13.168,1094086.8
2022-03-11 09:00:00,13.168,13.654,12.792,13.037,1143632.3
2022-03-12 09:00:00,13.037,13.442,13.015,13.136,393388.8
2022-03-13 09:00:00,13.136,13.434,12.572,12.689,530655.1
2022-03-14 09:00:00,12.689,13.503,12.6,13.4,1200262
2022-03-15 09:00:00,13.4,13.79,12.875,13.684,873921.4
2022-03-16 09:00:00,13.684,14.8,13.664,14.671,2121959.2000000002
2022-03-17 09:00:00,14.671,14.927,14.222,14.401,1005570
2022-03-18 09:00:00,14.401,15.261,14.108,15.012,1474922.5
2022-03-19 09:00:00,15.012,15.406,14.827,14.992,1345195
2022-03-20 09:00:00,14.992,15.13,14.421,14.54,1050315.8
2022-03-21 09:00:00,14.54,15.274,14.29,15.001,1889626.7
2022-03-22 09:00:00,15.001,15.845,14.991,15.423,1833653.8999999999
